,Name,ICAO,Callsign,Country,Active
0,Unknown,,\N,\N,Y
1,Private flight,,,,Y
2,135 Airways,GNL,GENERAL,United States,N
3,1Time Airline,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,WYT,,United Kingdom,N
5,213 Flight Unit,TFU,,Russia,N
6,223 Flight Unit State Airline,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,SEC,SECUREX,United States,N
10,40-Mile Air,MLA,MILE-AIR,United States,Y
11,4D Air,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,THD,DONUT,Canada,N
13,Ansett Australia,AAA,ANSETT,Australia,Y
14,Abacus International,,,Singapore,Y
15,Abelag Aviation,AAB,ABG,Belgium,N
16,Army Air Corps,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,SII,ASEISA,Mexico,N
19,Aero Biniza,BZS,BINIZA,Mexico,N
20,Aero Albatros,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,AAH,ALOHA,United States,Y
23,Alaska Island Air,AAK,ALASKA ISLAND,United States,N
24,American Airlines,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,AAU,AUSTASIA,Australia,N
31,Astro Air International,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,AFU,,Gambia,N
34,Afric'air Express,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,AAZ,ANGUS,Canada,N
37,Artem-Avia,ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,ABE,ABAN,Iran,n
40,Aerial Oy,ABF,SKYWINGS,Finland,N
41,Abakan-Avia,ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,TUS,ABSA Cargo,Brazil,Y
43,Abaet,ABJ,Abaet,Brazil,N
44,Alberta Citylink,ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,ABU,AEROBUENO,Colombia,N
47,Aerocenter,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,ABV,ANTRAK,Ghana,N
49,Airborne Express,ABX,ABEX,United States,N
50,ABX Air,ABX,ABEX,United States,N
51,ATA Brasil,ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,ACC,,United Kingdom,N
53,Academy Airlines,ACD,ACADEMY,United States,N
54,Aero Comondu,ACO,AERO COMONDU,Mexico,N
55,Astral Aviation,ACP,ASTRAL CARGO,Kenya,Y
56,Air Cess,ACS,,Liberia,N
57,Air Aurora,AAI,BOREALIS,United States,N
58,Air Cargo Transportation System,ACU,AFRISPIRIT,Kenya,N
59,Air Charter Service,ACV,,United Kingdom,N
60,Aero Asia International,RSO,AERO ASIA,Pakistan,N
61,Air Charters,ACX,PARAIR,Canada,N
62,Air Togo,TGA,AIR TOGO,Togo,N
63,Air Somalia,RSM,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,ACY,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,ADA,AUSCAL,Australia,N
66,Advance Leasing Company,,,United States,N
67,Aztec Worldwide Airlines,,,United States,N
68,Air Tindi,,,Canadian Territories,Y
69,Antonov Airlines,ADB,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,ADD,,Japan,N
72,Ada Air,ADE,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,ADG,AEREA TRAINING,Spain,N
74,Audeli Air,ADI,AUDELI,Spain,N
75,Abicar,ADJ,ABICAR,Ivory Coast,N
76,ADC Airlines,ADK,ADCO,Nigeria,N
77,Aero Dynamics,ADL,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,ADM,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,ADN,AERODIENST,Germany,N
80,Aerodiplomatic,ADP,AERODIPLOMATIC,Mexico,N
81,Aerodyne,ADY,AERODYNE,United States,N
82,Avion Taxi,ADQ,AIR DATA,Canada,N
83,Adria Airways,ADR,ADRIA,Slovenia,Y
84,Aviones de Sonora,ADS,SONORAV,Mexico,N
85,Air Dorval,ADT,AIR DORVAL,Canada,N
86,Airdeal Oy,ADU,AIRDEAL,Finland,N
87,Advance Air Charters,ADV,ADVANCE,Canada,N
88,Air Andaman,ADW,AIR ANDAMAN,Thailand,N
89,Anderson Aviation,ADX,ANDAX,United States,N
90,Air Europa,AEA,EUROPA,Spain,Y
91,Air Southwest Ltd.,ASW,AIRSOUTHWEST,Canada,N
92,Air Special,ASX,AIRSPEC,Czech Republic,N
93,Aero Benin,AEB,AEROBEN,Benin,Y
94,Aerocesar,AEC, Aerovias Del Cesar,AEROCESAR,N
95,Aerotrans Airlines,AED,,Russia,N
96,Aegean Airlines,AEE,AEGEAN,Greece,Y
97,Aerofumigaciones Sam,AEG,FUMIGACIONES SAM,Chile,N
98,Aeroexpreso Interamericano,AEI,INTERAM,Colombia,N
99,Air Express,AEJ,KHAKI EXPRESS,Tanzania,N
100,Aerocon,AEK,AEROCON,Bolivia,N
101,Aero Madrid,AEM,AEROMADRID,Spain,N
102,Aeroenlaces Nacionales,AEN,,Mexico,N
103,Aeroservicios Ejecutivos Del Occidente,AEO,AERO OCCIDENTE,Mexico,N
104,Aerotec,AEP,AEROTEC,Spain,N
105,Air Atlantique,AAG,ATLANTIC,United Kingdom,N
106,Air Europe,AEL,AIR EUROPE,Italy,Y
107,Air Alma,AAJ,AIR ALMA,Canada,N
108,Air Express,AEQ,LUNA,Sweden,N
109,Alaska Central Express,AER,ACE AIR,United States,Y
110,ACES Colombia,AES,ACES,Colombia,Y
111,Aeronautical Radio of Thailand,AET,AEROTHAI,Thailand,N
112,Astraeus,AEU,FLYSTAR,United Kingdom,Y
113,Aeroventas,AEV,AEROVENTAS,Mexico,N
114,Aerosvit Airlines,AEW,AEROSVIT,Ukraine,Y
115,Airway Express,AEX,AVCO,United States,N
116,Air Italy,AEY,AIR ITALY,Italy,Y
117,Aerial Transit Company,AEZ,AERIAL TRANZ,United States,N
118,Alfa Air,AFA,BLUE ALFA,Czech Republic,N
119,American Falcon,AFB,AMERICAN FALCON,Argentina,N
120,Alliance Airlines,UTY,UNITY,Australia,Y
121,Air Universal,UVS,UNI-LEONE,Sierra Leone,N
122,Auvia Air,UVT,AUVIA,Indonesia,N
123,African West Air,AFC,AFRICAN WEST,Senegal,N
124,Airfast Indonesia,AFE,AIRFAST,Indonesia,N
125,Ariana Afghan Airlines,AFG,ARIANA,Afghanistan,Y
126,Air Fecteau,AFH,FECTO,Canada,N
127,Africaone,AFI,AFRICAWORLD,Uganda,N
128,Alliance,AFJ,JAMBO,Uganda,N
129,Africa Air Links,AFK,AFRICA LINKS,Sierra Leone,N
130,Aeroflot Russian Airlines,AFL,AEROFLOT,Russia,Y
131,Aero Empresa Mexicana,AFO,AERO EMPRESA,Mexico,N
132,Air Bosna,BON,AIR BOSNA,Bosnia and Herzegovina,Y
133,Air Bravo,BRF,AIR BRAVO,Uganda,N
134,Air Brasd'or,BRL,BRASD'OR,Canada,N
135,Air 500,BRM,BOOMERANG,Canada,N
136,Alba Servizi Aerotrasporti,AFQ,ALBA,Italy,N
137,Air France,AFR,AIRFRANS,France,Y
138,Air Partner,ACG,AIR PARTNER,United Kingdom,N
139,Air Caledonie International,ACI,AIRCALIN,France,Y
140,Air Caledonia,ACM,WEST CAL,Canada,N
141,Air Guam,AGM,AIR GUAM,United States,N
142,Air Gabon,AGN,GOLF NOVEMBER,Gabon,N
143,Air Data,AFS,,United Kingdom,N
144,Air Afrique Vacancies,AFV,AFRIQUE VACANCE,Ivory Coast,N
145,Air Cargo America,MVM,PEGASUS,United States,N
146,Air Salone,,,Sierra Leone,Y
147,Air-Angol,NGO,AIR ANGOL,Angola,N
148,Air Nigeria,NGP,REGAL EAGLE,Nigeria,N
149,Air Cargo Carriers,SNC,NIGHT CARGO,United States,Y
150,Air Samarkand,SND,ARSAM,Uzbekistan,N
151,Air Senegal International,SNG,AIR SENEGAL,Senegal,N
152,Air Sandy,SNY,AIR SANDY,Canada,N
153,Air Namibia,NMB,NAMIBIA,Namibia,Y
154,Air Intersalonika,NSK,INTERSALONIKA,Greece,N
155,Air Anatolia,NTL,AIR ANATOLIA,Turkey,N
156,Air Saigon,SGA,AIR SAIGON,Vietnam,N
157,Afrique Regional Airways,AFW,AFRAIR,Ivory Coast,N
158,Airfreight Express,AFX, ,United Kingdom,N
159,Africa Chartered Services,AFY,AFRICA CHARTERED,Nigeria,N
160,Africa Freight Services,AFZ,AFREIGHT,Zambia,N
161,Aeronaves Del Centro,AGA,,Venezuela,N
162,Air Service Gabon,AGB,,Gabon,N
163,Arab Agricultural Aviation Company,AGC,AGRICO,Egypt,N
164,Atlantic Gulf Airlines,AGF,ATLANTIC GULF,United States,N
165,Aerolitoral,SLI,COSTERA,Mexico,Y
166,Algoma Airways,AGG,ALGOMA,Canada,N
167,Altagna,AGH,ALTAGNA,France,N
168,Angola Air Charter,AGO,ANGOLA CHARTER,Angola,N
169,Angola Air Charter,AGO,ANGOLA CHARTER,Angola,N
170,AERFI Group,AGP,AIR TARA,Ireland,N
171,Aerogala,AGQ,GALASERVICE,Chile,N
172,Amadeus Global Travel Distribution,AGT,AMADEUS,Spain,N
173,Angara Airlines,AGU,SARMA,Russia,N
174,Air Glaciers,AGV,AIR GLACIERS,Switzerland,Y
175,Aero Gambia,AGW,AERO GAMBIA,Gambia,N
176,Aviogenex,AGX,GENEX,Serbia,Y
177,Atlantic Coast Airlines,BLR,BLUE RIDGE,United States,N
178,Aero Barloz,BLZ,AEROLOZ,Mexico,N
179,Aeroper,PLI,Aeroperu,Peru,Y
180,Atlas Blue,BMM,ATLAS BLUE,Morocco,Y
181,Aero Banobras,BNB,AEROBANOBRAS,Mexico,N
182,Aero Flight Service,AGY,FLIGHT GROUP,United States,N
183,Agrolet-Mci,AGZ,AGROLET,Slovakia,N
184,Air Alpha Greenland,AHA,AIR ALPHA,Denmark,N
185,Azal Avia Cargo,AHC,AZALAVIACARGO,Azerbaijan,N
186,Airport Helicopter Basel,AHE, Muller & Co.,AIRPORT HELICOPTER,N
187,Aeroservices Corporate,CJE,BIRD JET,France,N
188,Aspen Helicopters,AHF,ASPEN,United States,N
189,Aerochago Airlines,AHG,AEROCHAGO,Dominican Republic,N
190,Airplanes Holdings,AHH,AIRHOLD,Ireland,N
191,Air Hong Kong,AHK,AIR HONG KONG,Hong Kong,N
192,Aerochiapas,AHP,AEROCHIAPAS,Mexico,N
193,Air Adriatic,AHR,ADRIATIC,Croatia,N
194,Air Viggi San Raffaele,AHS,AIRSAR,Italy,N
195,ABC Air Hungary,AHU,ABC HUNGARY,Hungary,N
196,Aeromist-Kharkiv,AHW,AEROMIST,Ukraine,N
197,Azerbaijan Airlines,AHY,AZAL,Azerbaijan,Y
198,Avies,AIA,AVIES,Estonia,Y
199,Airbus Industrie,AIB,AIRBUS INDUSTRIE,France,N
200,Alpine Air Chile,AIH,ALPINE CHILE,Chile,N
201,Air Integra,AII,INTEGRA,Canada,N
202,ABC Aerolineas,AIJ,ABC AEROLINEAS,Mexico,N
203,African Airlines International Limited,AIK,AFRICAN AIRLINES,Kenya,N
204,African International Airways,AIN,FLY CARGO,Swaziland,N
205,Alpine Air Express,AIP,ALPINE AIR,United States,N
206,Alicante Internacional Airlines,AIU,ALIA,Spain,N
207,Aba Air,ABP,BAIR,Czech Republic,N
208,Airblue,ABQ,PAKBLUE,Pakistan,Y
209,Airmark Aviation,THM,THAI AIRMARK,Thailand,N
210,Airlift International,AIR,AIRLIFT,United States,Y
211,Airest,AIT, ,Estonia,N
212,Air Baffin,BFF,AIR BAFFIN,Canada,N
213,Air Bandama,BDM,BANDAMA,Ivory Coast,N
214,Air Berlin,BER,AIR BERLIN,Germany,Y
215,Air Brousse,ABT,AIR BROUSSE,Canada,N
216,Air Contractors,ABR,CONTRACT,Ireland,N
217,Air Illinois,AIL,AIR ILLINOIS,United States,N
218,Air India Limited,AIC,AIRINDIA,India,Y
219,Air Inter Gabon,AIG, ,Gabon,N
220,Air Bourbon,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,ABD,ATLANTA,Iceland,Y
222,Air Inuit,AIE,AIR INUIT,Canada,N
223,Air Sureste,AIS,SURESTE,Spain,N
224,Air Srpska,SBK,Air Srpska,Bosnia and Herzegovina,N
225,Air Tahiti Nui,THT,TAHITI AIRLINES,France,Y
226,Airvias S/A Linhas Aereas,AIV,AIRVIAS,Brazil,N
227,Aero Services Executive,BES,BIRD EXPRESS,France,N
228,Atlantic Island Airways,AIW,TARTAN,Canada,N
229,Aircruising Australia,AIX,CRUISER,Australia,N
230,Aircrew Check and Training Australia,AIY,AIRCREW,Australia,N
231,Arkia Israel Airlines,AIZ,ARKIA,Israel,Y
232,A J Services,AJA,AYJAY SERVICES,United Kingdom,N
233,Aero JBR,AJB,AERO JBR,Mexico,N
234,Aero Jet Express,AJE,JET EXPRESS,Mexico,N
235,Avia Consult Flugbetriebs,AJF,AVIACONSULT,Austria,N
236,Ameristar Jet Charter,AJI,AMERISTAR,United States,N
237,A2 Jet Leasing,AJJ,ATLANTIC JET,United States,N
238,Allied Air,AJK,BAMBI,Nigeria,N
239,Air Jamaica,AJM,JAMAICA,Jamaica,Y
240,Air One,ADH,HERON,Italy,Y
241,Air Sahara,RSH,SAHARA,India,Y
242,Air Malta,AMC,AIR MALTA,Malta,Y
243,Aeroejecutivo,AJO,AEROEXO,Mexico,N
244,Aero Jets Corporativos,AJP,AEROJETS,Mexico,N
245,Aeroejecutivos Colombia,AJS,AEROEJECUTIVOS,Colombia,N
246,Amerijet International,AJT,AMERIJET,United States,N
247,Air Jetsul,AJU,AIRJETSUL,Portugal,N
248,ANA & JP Express,AJV,AYJAY CARGO,Japan,N
249,Alpha Jet International,AJW,ALPHAJET,United States,N
250,Air Japan,AJX,AIR JAPAN,Japan,Y
251,Ajet,AJY,AYJET,Cyprus,N
252,Air Korea Co. Ltd.,AKA,,Republic of Korea,Y
253,Air Livonia,LIV,LIVONIA,Estonia,N
254,Air BC,ABL,AIRCOACH,Canada,N
255,Air Fret Senegal,ABN, ,Senegal,N
256,Air Jamahiriya Company,LJA,AIR JAMAHIRIYA,Libya,N
257,Aktjubavia,AKB,KARAB,Kazakhstan,N
258,Arca Aerovias Colombianas Ltda.,AKC,ARCA,Colombia,N
259,Anikay Air Company,AKF,ANIKAY,Kyrgyzstan,N
260,Akhal,AKH,AKHAL,Turkmenistan,N
261,Aeromilenio,MNI,AEROMIL,Mexico,N
262,Aklak Air,AKK,AKLAK,Canada,N
263,Air Kiribati,AKL,,Kiribati,Y
264,Alkan Air,AKN,ALKAN AIR,Canada,N
265,Angkor Airways,AKW,ANGKORWAYS,Cambodia,N
266,Air Nippon Network Co. Ltd.,AKX,ALFA WING,Japan,N
267,AK Navigator LLC,AKZ,ABSOLUTE,Kazakhstan,N
268,Aero Albatros,ALB,ALBATROS,Mexico,N
269,Albion Aviation,ALD,ALBION,United Kingdom,N
270,Aeroalas Colombia,ALE,AEROALAS,Colombia,N
271,Allied Command Europe (Mobile Force),ALF,ACEFORCE,Belgium,N
272,Aerotaxis Albatros,BTS,AEROLINEAS ALBATROS,Mexico,N
273,American Flyers,FYS,AMERICAN FLYERS,United States,N
274,Aero Coach Aviation,DFA,AERO COACH,United States,N
275,Atlantic Southeast Airlines,CAA,Chandler,United States,N
276,ACM Air Charter,BVR,BAVARIAN,Germany,N
277,Air Logistics,ALG,AIRLOG,United States,N
278,Aerovallarta,ALL,VALLARTA,Mexico,N
279,Air ALM,ALM,ANTILLEAN,Netherlands Antilles,N
280,Air Lincoln,ALN,CHICAGO LINCOLN,United States,N
281,America West Airlines,AWE,CACTUS,United States,Y
282,Air Wisconsin,AWI,AIR WISCONSIN,United States,Y
283,Aerotransporte de Carga Union,TNO,AEROUNION,Mexico,N
284,Aero Taxis Cessna,TND,TAXIS CESSNA,Mexico,N
285,Arizona Express Airlines,TMP,TEMPE,United States,N
286,Tatarstan Airlines,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,ALO,ALLEGHENY,United States,Y
288,Alpliner AG,ALP,ALPINER,Switzerland,N
289,Altair Aviation (1986),ALQ,ALTAIR,Canada,N
290,Air Luxor STP,ALU,LUXORJET,Sao Tome and Principe,N
291,Alas de Venezuela,ALV,ALVEN,Venezuela,N
292,Alas Nacionales,ALW, S.A.,ALNACIONAL,N
293,Alyeska Air Service,ALY,ALYESKA,United States,N
294,Alta Flights (Charters) Ltd.,ALZ, ,Canada,N
295,Air Sunshine,RSI,AIR SUNSHINE,United States,Y
296,ATMA,AMA,ADIK,Kazakhstan,N
297,Aerolineas Medellin,AMD,AEROLINEAS MEDELLIN,Colombia,N
298,Ameriflight,AMF,AMFLIGHT,United States,N
299,Air Libert,,,France,Y
300,Air Lithuania,KLA,KAUNAS,Lithuania,N
301,Air Minas Linhas A,AMG,AIR MINAS,Brazil,N
302,Alan Mann Helicopters Ltd.,AMH,MANN,United Kingdom,N
303,Air Maldives,AMI,AIR MALDIVES,Maldives,N
304,Aviation Amos,AMJ,AVIATION AMOS,Canada,N
305,Amerer Air,AMK,AMER AIR,Austria,N
306,Air Malawi,AML,MALAWI,Malawi,Y
307,Aeroputul International Marculesti,AMM,AEROM,Moldova,N
308,Air Montenegro,AMN,MONTENEGRO,Montenegro,N
309,Air Montreal (Air Holdings Inc.),AMO,AIR MONTREAL,Canada,N
310,Aero Transporte S.A. (ATSA),AMP,ATSA,Peru,N
311,Aeromedicare Ltd.,AMQ,LIFELINE,United Kingdom,N
312,Air Sicilia,,,Italy,Y
313,Air Specialties Corporation,AMR,AIR AM,United States,N
314,Air Muskoka,AMS,AIR MUSKOKA,Canada,N
315,ATA Airlines,AMT,AMTRAN,United States,Y
316,Air Macau,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,AMV,,Egypt,Y
318,Air Midwest,AMW,AIR MIDWEST,United States,N
319,Air Seychelles,SEY,SEYCHELLES,Seychelles,Y
320,Air Sofia,SFB,AIR SOFIA,Bulgaria,N
321,AeroMéxico,AMX,AEROMEXICO,Mexico,Y
322,Air Ambar,AMY,AIR AMBAR,Dominican Republic,N
323,Amiya Airline,AMZ,AMIYA AIR,Nigeria,N
324,All Nippon Airways,ANA,ALL NIPPON,Japan,Y
325,Air Navigation And Trading Co. Ltd.,ANB,AIR NAV,United Kingdom,N
326,Anglo Cargo,ANC,ANGLO,United Kingdom,N
327,Air Nostrum,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,ACA,AIR CANADA,Canada,Y
331,Airport Bratsk,BRP,AEROBRA,Russia,N
332,Air Wings,BSB,ARBAS,Moldova,N
333,Air Baltic,BTI,AIRBALTIC,Latvia,Y
334,Alajnihah for Air Transport,ANH,ALAJNIHAH,Libya,N
335,Air Atlantic (Nig) Limited,ANI,NIGALANTIC,Nigeria,N
336,Air Nippon,ANK,ANK AIR,Japan,Y
337,Antares Airtransport,ANM, Maintenance & Service GmbH,ANTARES,N
338,Airnorth,ANO,TOPEND,Australia,Y
339,Aerol,ANQ,ANTIOQUIA,Colombia,N
340,Andes Lineas Aereas,ANS,AEROANDES,Argentina,N
341,Air North Charter - Canada,ANT,AIR NORTH,Canada,Y
342,Air Nevada,ANV,AIR NEVADA,United States,N
343,AOM French Airlines,AOM,French Lines,France,N
344,Aviacion Del Noroeste,ANW, S.A. de C.V.,AVINOR,N
345,Air New Zealand,ANZ,NEW ZEALAND,New Zealand,Y
346,Avia Jaynar,SAP,TOBOL,Kazakhstan,N
347,Aero Servicios Empresariales,EMS,SERVIEMPRESARIAL,Mexico,N
348,Alcon Servicios Aereos,AOA, S.A. de C.V.,ALCON,N
349,AVCOM,AOC,AERO AVCOM,Russia,N
350,Aero Vodochody,AOD,AERO CZECH,Czech Republic,N
351,Air One Executive,AOE, ,Italy,N
352,Atair Pty Ltd.,AOF,ATAIR,South Africa,N
353,Aero VIP,AOG,AVIP,Argentina,N
354,Aeromundo Ejecutivo,MUN,AEROMUNDO,Mexico,N
355,Aerolinea Muri,MUR,MURI,Mexico,N
356,Astoria,AOI, Inc.,ASTORIA,N
357,Aero Rent JSC,NRO,AEROMASTER,Russia,N
358,Aeronord-Grup,NRP,AERONORD,Moldova,N
359,Aeroatlantico Colombia,AOK,,Colombia,N
360,Angkor Airlines,AOL,ANGKOR AIR,Cambodia,N
361,Aero Entreprise,AON,AERO ENTERPRISE,France,N
362,As,AOO, Opened Joint Stock Company,COMPANY AS,N
363,Aeropiloto,AOP,AEROPILOTO,Portugal,N
364,Aeroenlaces Nacionales,VIV,AEROENLACES,Mexico,N
365,Aerovis Airlines,VIZ,AEROVIZ,Ukraine,N
366,Avjet International (FZE),VJE,,United Arab Emirates,N
367,Aerovista Gulf Express,VGF,VISTA GULF,United Arab Emirates,N
368,Air Vegas,VGA,AIR VEGAS,United States,N
369,Almaver,VER,ALMAVER,Mexico,N
370,Afro International Ent. Limited,AOR,INTER-AFRO,Nigeria,N
371,Alitalia Express,SMX,ALIEXPRESS,Italy,Y
372,Asia Overnight Express,AOT,ASIA OVERNIGHT,Philippines,N
373,Air Tractor,AOU,AIR TRACTOR,Croatia,N
374,Aero Vision,AOV,AEROVISION,France,N
375,Aerotaxi Del Valle,AOX,AEROVALLE,Colombia,N
376,Air Park Aviation Ltd.,APA,CAN-AM,Canada,N
377,Airpac Airlines,APC, Inc.,AIRPAC,N
378,Aeroservicios Monterrey,SVM,SERVIMONTE,Mexico,N
379,Amapola Flyg AB,APF,AMAPOLA,Sweden,N
380,Air People International,APG,AIR PEOPLE,Thailand,N
381,Alpha Aviation,APH, Inc.,AIRFLIGHT,N
382,ASA Pesada,API, Lda.,ASA PESADA,N
383,Air Print,APJ, S.A.,AIR PRINT,N
384,Atlantic Airlines,BJK,BLACKJACK,United States,N
385,Aerotransporte Petrolero,PET,AEROPETRO,Colombia,N
386,Aero Flight,ARF,Aero Fox,Germany,Y
387,ACM Aviation,BJT,BAY JET,United States,N
388,Aircompany Barcol,BKL,BARCOL,Russia,N
389,All Charter Limited,BLA,ALL CHARTER,United Kingdom,N
390,Appalachian Flying Service,APL, Inc.,APPALACHIAN,N
391,Airpac,APM, Inc.,ALASKA PACIFIC,N
392,Aeropro,APO,AEROPRO,Canada,N
393,Aerolineas Pacifico Atlantico,APP, S.A. (Apair),AEROPERLAS,N
394,Aspen Aviation,APQ,ASPEN BASE,United States,N
395,Aeropuma,APU, S.A.,AEROPUMA,N
396,Air Plan International,APV,AIR PLAN,Democratic Republic of the Congo,N
397,Arrow Air,APW,BIG A,United States,Y
398,Apex Air Cargo,APX,PARCEL EXPRESS,United States,N
399,APA Internacional,APY,APA INTERNACIONAL,Dominican Republic,N
400,Aeroatlas,AQA, S.A.,ATCO,N
401,Aquila Air Ltd.,AQL,AQUILA,Canada,N
402,Air Queensland,AQN,BUSHAIR,Australia,N
403,Aluminum Company Of America,AQO,ALCOA SHUTTLE,United States,N
404,Aviones de Renta de Quintana Roo,AQT, S.A. de C.V.,AVIOQUINTANA,N
405,AirQuarius Aviation,AQU,QUARIUS,South Africa,N
406,Aerodyne Charter Company,AQZ,QUANZA,United States,N
407,Arik Air,ARA,ARIK AIR,Nigeria,N
408,Avia Air N.V.,ARB,AVIAIR,Aruba,N
409,Air Routing International Corp.,ARC, ,United States,N
410,Aerocondor,ARD,AEROCONDOR,Portugal,Y
411,Aires,ARE, Aerovias de Integracion Regional, S.A.,Y
412,Aerolineas Argentinas,ARG,ARGENTINA,Argentina,Y
413,Arrowhead Airways,ARH,ARROWHEAD,United States,N
414,Aero Vics,ARI,AEROVICS,Mexico,N
415,Aerojet de Costa Rica,ARJ, S.A.,,N
416,Antillana De Navegacion Aerea,SUN,,Dominican Republic,N
417,Aeroservicios De San Luis,SUO,SERVICIO SANLUIS,Mexico,N
418,Aerosuper,SUP,AEROSUPER,Mexico,N
419,Aero Link Air Services S.L.,ARK,LINK SERVICE,Spain,N
420,Airlec - Air Aquitaine Transport,ARL,AIRLEC,France,N
421,Aeromarket Express,ARM,AMEX,Spain,N
422,Arrow Aviation Ltd.,ARO,ARROW,Canada,N
423,RPA-Aviataxi Ltd.,ARP,,Russia,N
424,Air Klaipeda,KLD,AIR KLAIPEDA,Lithuania,N
425,Armstrong Air,ARQ, Inc.,ARMSTRONG,N
426,Air Armenia,ARR,AIR ARMENIA,Armenia,N
427,Aeromet Servicios,ARS,METSERVICE,Chile,N
428,Aerotal Aerolineas Territoriales de Colombia Ltda,ART,AEROTAL,Colombia,N
429,Aravco Ltd.,ARV,ARAVCO,United Kingdom,N
430,Aria,ARW,ARIABIRD,France,N
431,Air Xpress,ARX, Inc.,AIREX,N
432,Airline Alania,OST,ALANIA,Russia,N
433,Air Tchad,HTT,HOTEL TANGO,Chad,N
434,Aerloineas de Techuacan,HUC,LINEAS TEHUACAN,Mexico,N
435,Aerotransportes Huitzilin,HUT,AEROHUITZILIN,Mexico,N
436,Aero Transportes Del Humaya,HUY,AERO HUMAYA,Mexico,N
437,Argosy Airways,ARY,GOSEY,United States,N
438,Air Resorts,ARZ,AIR RESORTS,United States,N
439,Alaska Airlines,ASA, Inc.,ALASKA,Y
440,Air-Spray 1967 Ltd.,ASB,AIR SPRAY,Canada,N
441,Air Star Corporation,ASC,AIR STAR,Canada,N
442,Air Sinai,ASD,AIR SINAI,Egypt,Y
443,Airstars,ASE,MOROZOV,Russia,N
444,Air Schefferville,ASF, Inc.,SCHEFF,N
445,African Star Airways (PTY) Ltd.,ASG,AFRICAN STAR,South Africa,N
446,Aerosun International,ASI, Inc.,AEROSUN,N
447,Air Satellite,ASJ,SATELLITE,Canada,N
448,Awesome Flight Services (PTY) Ltd.,ASM,AWESOME,South Africa,N
449,Air and Sea Transport,ASN, ,Russia,N
450,Aero Slovakia,ASO,AERO NITRA,Slovakia,N
451,Airsprint,ASP,AIRSPRINT,Canada,N
452,Atlantic Southeast Airlines,ASQ,ACEY,United States,Y
453,All Star Airlines,ASR, Inc.,ALL STAR,N
454,Air Class,ASS, S.A. de C.V.,AIR CLASS,N
455,Aerlineas Del Oeste,AST,AEROESTE,Mexico,N
456,Aviones Are,NRE,AVIONES ARE,Mexico,N
457,Air Nepal International,NPL,AIR NEPAL,Nepal,N
458,Air Napier,NPR,,New Zealand,N
459,Air Taxi & Cargo,WAM,TAXI CARGO,Sudan,N
460,Arrow Panama,WAP,ARROW PANAMA,Panama,N
461,Astravia-Bissau Air Transports Ltd.,ASV,ASTRAVIA,Guinea-Bissau,N
462,Astrakhan Airlines,ASZ,AIR ASTRAKHAN,Russia,Y
463,Air Transport Association,ATA,,United States,N
464,Atlantair Ltd.,ATB,STARLITE,Canada,N
